dataset_identifier,distribution_format,distribution_access_url,origin,xml_filename,distribution_title_de,distribution_description_de,distribution_title_unknown,distribution_description_unknown,distribution_title_en,distribution_description_en,distribution_title_fr,distribution_description_fr,distribution_title_it,distribution_description_it,distribution_title_rm,distribution_description_rm,distribution_media_type,distribution_language,distribution_download_url,distribution_coverage,distribution_temporal_resolution,distribution_documentation,distribution_id,distribution_issued_date,distribution_modified_date,distribution_license,distribution_rights,distribution_byte_size,distribution_language_status_de,distribution_language_status_en,distribution_language_status_fr,distribution_language_status_it,distribution_language_status_unknown,distribution_language_quality,distribution_description_length_de,distribution_description_length_en,distribution_description_length_fr,distribution_description_length_it,distribution_description_length_rm,distribution_format_name,distribution_format_type,distribution_format_cluster,distribution_format_geodata,distribution_access_url_status_code,distribution_download_url_status_code
ur-2173,OGC:WFS,,geocat.ch,ur-2173.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2173,,,geocat.ch,ur-2173.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2173,CHTOPO:specialised-geoportal,,geocat.ch,ur-2173.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Geschiebemessnetz (SOLID) - Standorte der Messstellen,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2179,OGC:WMS,,geocat.ch,ur-2179.xml,,,umwelt_sec:vppw_grundlagen,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2179,OGC:WFS,,geocat.ch,ur-2179.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2179,,,geocat.ch,ur-2179.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2179,CHTOPO:specialised-geoportal,,geocat.ch,ur-2179.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=VPPW Grundlagen,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:0652ec1d-4ff8-4d7a-94dc-f2d2459201b5,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_0652ec1d-4ff8-4d7a-94dc-f2d2459201b5.xml,,,Modèle de données propre aux Étendues d'eaux sur la page Wiki OSM,,,,,,,,,,,,https://wiki.openstreetmap.org/wiki/FR:Key:natural,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:0652ec1d-4ff8-4d7a-94dc-f2d2459201b5,,,geocat.ch,urn_isogeo_metadata_uuid_0652ec1d-4ff8-4d7a-94dc-f2d2459201b5.xml,,,Couche disponible dans CH-OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/fr/,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2185,OGC:WMS,,geocat.ch,ur-2185.xml,,,raumplanung_sec:are_schwachstellenanalyse_veloverkehr,WMS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wms?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2185,OGC:WFS,,geocat.ch,ur-2185.xml,,,,WFS-Dienst des Kanton Uri,,,,,,,,,,,https://geo.ur.ch/sec-webmercator/wfs?request=getCapabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2185,,,geocat.ch,ur-2185.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur-2185,CHTOPO:specialised-geoportal,,geocat.ch,ur-2185.xml,,,GEO.UR,Web GIS Client des Kanton Uri. Die Daten können direkt via dem Portal in den unterschiedlichsten Datenformaten heruntergeladen werden.,,,,,,,,,,,https://geo.ur.ch/?layers=Schwachstellenanalyse Velowegnetz,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:bc626451-1cd8-4fff-9265-ce157ff3e60c,WWW:LINK,,geocat.ch,urn_isogeo_metadata_uuid_bc626451-1cd8-4fff-9265-ce157ff3e60c.xml,,,Modèle de données propre aux cours d'eau sur la page Wiki OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,
urn:isogeo:metadata:uuid:bc626451-1cd8-4fff-9265-ce157ff3e60c,,,geocat.ch,urn_isogeo_metadata_uuid_bc626451-1cd8-4fff-9265-ce157ff3e60c.xml,,,Couche disponible dans CH-OSM,,,,,,,,,,,,https://ch-osm.geodatasolutions.ch/fr/,,,,,,,,,,,,,,,,,,,,,,,,,,
